EX_Id,GA_Id,DisplayOrder,Type,Name,Path,EA,Data
9613,3639,2,0,"Advert","Adverts\S\Software_Projects2.jpg ",0,""
9614,3639,3,0,"Advert","Adverts\S\Software_Projects3c.jpg ",0,""
9615,3639,4,0,"Advert","Adverts\S\Software_Projects5.jpg ",0,""
9616,3639,5,0,"Advert","Adverts\S\Software_Projects6.jpg ",0,""
9617,3640,2,0,"Advert","Adverts\O\Ocean_Hunckback_Kong.jpg ",0,""
9618,3640,3,0,"Advert","Adverts\O\Ocean_Hunckback2.jpg ",0,""
9619,3640,4,0,"Advert","Adverts\O\Ocean01k.jpg ",0,""
9620,3640,5,0,"Advert","Adverts\O\Ocean01l.jpg ",0,""
9621,3640,6,0,"Advert","Adverts\O\Ocean02a.jpg ",0,""
9622,3643,2,0,"Advert","Adverts\M\Melbourne_House1.jpg ",0,""
9623,3643,3,0,"Advert","Adverts\M\Melbourne_House2a.jpg ",0,""
9624,3643,4,0,"Advert","Adverts\M\Melbourne_House2b.jpg ",0,""
9625,3644,3,0,"Advert","Adverts\A\Argus_Press_Hunt_for_Red_October.jpg ",0,""
9626,3644,4,0,"Advert","Adverts\G\Grandslam3.jpg ",0,""
9627,3645,2,0,"Advert","Adverts\G\Grandslam_Hunt_for_Red_October.jpg ",0,""
9628,3647,1,0,"Advert","Adverts\A\Anirog08.jpg ",0,""
9629,3649,6,0,"Advert","Adverts\K\Kixx1.jpg ",0,""
9630,3649,7,0,"Advert","Adverts\T\Thalamus_Hunters_Moon1.jpg ",0,""
9631,3649,8,0,"Advert","Adverts\T\Thalamus_Hunters_Moon2.jpg ",0,""
9632,3649,9,0,"Advert","Adverts\T\Thalamus2.jpg ",0,""
9633,3651,8,0,"Advert","Adverts\B\Bubble_Bus_Hustler1.jpg ",0,""
9634,3651,9,0,"Advert","Adverts\B\Bubble_Bus_Hustler2.jpg ",0,""
9635,3651,10,0,"Advert","Adverts\B\Bubble_Bus01.jpg ",0,""
9636,3651,11,0,"Advert","Adverts\B\Bubble_Bus02a.jpg ",0,""
9637,3651,12,0,"Advert","Adverts\B\Bubble_Bus02b.jpg ",0,""
9638,3651,13,0,"Advert","Adverts\B\Bubble_Bus11.jpg ",0,""
9639,3652,2,0,"Advert","Adverts\A\Alternative_Software1.jpg ",0,""
9640,3653,2,0,"Advert","Adverts\S\Starlight_Hybrid.jpg ",0,""
9641,3654,3,0,"Advert","Adverts\D\Domark_Hydra.jpg ",0,""
9642,3654,4,0,"Advert","Adverts\D\Domark5.jpg ",0,""
9643,3656,2,0,"Advert","Adverts\O\Odin_Hypaball.jpg ",0,""
9644,3662,2,0,"Advert","Adverts\A\Alligata_Hyper_Circuit.jpg ",0,""
9645,3666,11,0,"Advert","Adverts\H\HitSquad_Hit-em_for_Six2.jpg ",0,""
9646,3666,12,0,"Advert","Adverts\H\HitSquad_Hit-em_for_Six3.jpg ",0,""
9647,3666,13,0,"Advert","Adverts\I\Imagine_Hyper_Sports1.jpg ",0,""
9648,3666,14,0,"Advert","Adverts\I\Imagine_Hyper_Sports2.jpg ",0,""
9649,3666,15,0,"Advert","Adverts\I\Imagine_Konami_Collection.jpg ",0,""
9650,3666,16,0,"Advert","Adverts\I\Imagine03.jpg ",0,""
9651,3666,17,0,"Advert","Adverts\I\Imagine05.jpg ",0,""
9652,3666,18,0,"Advert","Adverts\I\Imagine06a.jpg ",0,""
9653,3666,19,0,"Advert","Adverts\I\Imagine06b.jpg ",0,""
9654,3666,20,0,"Advert","Adverts\O\Ocean_Game_Set_Match2.jpg ",0,""
9655,3675,3,0,"Advert","Adverts\S\Software_Projects_Hysteria1.jpg ",0,""
9656,3675,4,0,"Advert","Adverts\S\Software_Projects_Hysteria2.jpg ",0,""
9657,3676,1,0,"Advert","Adverts\S\Simulmondo_I_Play_3D_Soccer.jpg ",0,""
9658,3684,7,0,"Advert","Adverts\M\MicroValue1.jpg ",0,""
9659,3684,8,0,"Advert","Adverts\O\Ocean_Game_Set_Match4.jpg ",0,""
9660,3684,9,0,"Advert","Adverts\O\Ocean_Game_Set_Match5.jpg ",0,""
9661,3684,10,0,"Advert","Adverts\T\TyneSoft_Ian_Bothams_Test_Match.jpg ",0,""
9662,3690,5,0,"Advert","Adverts\C\Creative_Sparks_Ice_Palace.jpg ",0,""
9663,3700,2,0,"Advert","Adverts\T\Thor_ICUPS.jpg ",0,""
9664,3700,3,0,"Advert","Adverts\T\Thor2.jpg ",0,""
9665,3707,7,0,"Advert","Adverts\H\HitSquad_Sports_Movies_Arcade.jpg ",0,""
9666,3707,8,0,"Advert","Adverts\H\HitSquad_Top_Quality_Games1.jpg ",0,""
9667,3707,9,0,"Advert","Adverts\O\Ocean14a.jpg ",0,""
9668,3707,10,0,"Advert","Adverts\O\Ocean14b.jpg ",0,""
9669,3707,11,0,"Advert","Adverts\S\System3_International_Karate3.jpg ",0,""
9670,3707,12,0,"Advert","Adverts\S\System3_International_Karate4.jpg ",0,""
9671,3709,4,0,"Advert","Adverts\E\Elite_Ikari_Warriors1.jpg ",0,""
9672,3709,5,0,"Advert","Adverts\E\Elite_Ikari_Warriors2.jpg ",0,""
9673,3709,6,0,"Advert","Adverts\E\Elite_Ikari_Warriors3.jpg ",0,""
9674,3709,7,0,"Advert","Adverts\E\Elite_Ikari_Warriors4.jpg ",0,""
9675,3709,8,0,"Advert","Adverts\E\Encore4.jpg ",0,""
9676,3719,3,0,"Advert","Adverts\U\Ultimate_Imhotep.jpg ",0,""
9677,3719,4,0,"Advert","Adverts\U\Ultimate2.jpg ",0,""
9678,3721,2,0,"Advert","Adverts\A\Audiogenic_Impact1.jpg ",0,""
9679,3721,3,0,"Advert","Adverts\A\Audiogenic_Impact2.jpg ",0,""
9680,3729,6,0,"Advert","Adverts\C\Cascade_Implosion1.jpg ",0,""
9681,3729,7,0,"Advert","Adverts\C\Cascade_Implosion2.jpg ",0,""
9682,3729,8,0,"Advert","Adverts\C\Cascade1.jpg ",0,""
9683,3730,3,0,"Advert","Adverts\G\Gremlin_Impossamole1.jpg ",0,""
9684,3730,4,0,"Advert","Adverts\G\Gremlin_Impossamole2.jpg ",0,""
9685,3731,9,0,"Advert","Adverts\E\Epyx_Epics.jpg ",0,""
9686,3731,10,0,"Advert","Adverts\E\Epyx_ImpossibleMission1.jpg ",0,""
9687,3731,11,0,"Advert","Adverts\E\Epyx06.jpg ",0,""
9688,3731,12,0,"Advert","Adverts\E\Epyx07.jpg ",0,""
9689,3731,13,0,"Advert","Adverts\E\Epyx10.jpg ",0,""
